"session","created","modified","ended","expired","age","sex","sex_open","partner_any","partner_type","partner_open","occup_any","occup_type","occup_open","sport_any","SWLS_1_Start","SWLS_2_Start","SWLS_3_Start","SWLS_4_Start","SWLS_5_Start","is_own_domain","own_domain","IMP_health_Start","IMP_romantic_Start","IMP_social_Start","IMP_family_Start","IMP_friends_Start","IMP_looks_Start","IMP_sports_Start","IMP_leisuretime_Start","IMP_leisureuse_Start","IMP_occup_Start","IMP_occuptask_Start","IMP_occupperform_Start","IMP_occuprelations_Start","IMP_owndomain_Start","GUESS_health_Start","GUESS_CONF_health_Start","GUESS_romantic_Start","GUESS_CONF_romantic_Start","GUESS_social_Start","GUESS_CONF_social_Start","GUESS_family_Start","GUESS_CONF_family_Start","GUESS_friends_Start","GUESS_CONF_friends_Start","GUESS_looks_Start","GUESS_CONF_looks_Start","GUESS_sports_Start","GUESS_CONF_sports_Start","GUESS_leisuretime_Start","GUESS_CONF_leisuretime_Start","GUESS_leisureuse_Start","GUESS_CONF_leisureuse_Start","GUESS_occup_Start","GUESS_CONF_occup_Start","GUESS_occuptask_Start","GUESS_CONF_occuptask_Start","GUESS_occupperform_Start","GUESS_CONF_occupperform_Start","GUESS_occuprelations_Start","GUESS_CONF_occuprelations_Start","GUESS_owndomain_Start","GUESS_CONF_owndomain_Start","RANK_select_health_Start","RANK_select_romantic_Start","RANK_select_social_Start","RANK_select_family_Start","RANK_select_friends_Start","RANK_select_looks_Start","RANK_select_sports_Start","RANK_select_leisuretime_Start","RANK_select_leisureuse_Start","RANK_select_occup_Start","RANK_select_occuptask_Start","RANK_select_occupperform_Start","RANK_select_occuprelations_Start","RANK_select_owndomain_Start","RANK_health_Start","RANK_romantic_Start","RANK_social_Start","RANK_family_Start","RANK_friends_Start","RANK_looks_Start","RANK_sports_Start","RANK_leisuretime_Start","RANK_leisureuse_Start","RANK_occup_Start","RANK_occuptask_Start","RANK_occupperform_Start","RANK_occuprelations_Start","RANK_owndomain_Start","MLQ_P_1_Start","MLQ_S_1_Start","MLQ_P_2_Start","MLQ_S_2_Start","MLQ_P_3_R_Start","MLQ_S_3_Start","BFI_EXT_1","BFI_AGR_1","BFI_CON_1_R","BFI_NEU_1_R","BFI_OPE_1_R","BFI_AGR_2","BFI_AGR_3_R","BFI_EXT_2_R","BFI_OPE_2","BFI_EXT_3","BFI_CON_2_R","BFI_NEU_2_R","BFI_EXT_4_R","BFI_NEU_3_R","BFI_OPE_3_R","BFI_CON_3","BFI_NEU_4","BFI_AGR_4_R","BFI_OPE_4","BFI_EXT_5","BFI_CON_4","BFI_AGR_5_R","BFI_EXT_6_R","BFI_CON_5","BFI_NEU_5","BFI_OPE_5_R","BFI_AGR_6","BFI_CON_6_R","BFI_NEU_6","BFI_OPE_6","PA_T_1_Start","NA_T_1_Start","NA_T_2_Start","PA_T_2_Start","NA_T_3_Start","PA_T_3_Start","NA_T_4_Start","NA_T_5_Start","SI_1","SI_2","SI_3","SI_4","SI_5"
"psBaYvTiuWKXq2YgGWnSaEP_-eQBdRu_7ZraSqAboE-RVZq_heHOduJqcyk0i_it","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IANMjKgMxrkhlTGe9G2ATzfGFWWFcBgryQXrP6ld15Bc4a6690pp3apsjZZUZe0i","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wV5_lizsx7lno1SMQbwmd1OMbwlVOE5LbuBoadi08od-38AMSCSAIWfYPexan1OP","2018-03-29","2018-03-29","2018-03-29",NA,20,1,NA,1,"committed",NA,1,"college",NA,1,5,7,5,5,4,1,"Selbstliebe",5,5,4,4,5,4,3,5,5,4,3,4,4,5,4,5,5,5,3,4,4,2,5,5,4,2,3,2,3,4,4,3,3,3,3,3,5,4,5,3,5,3,0,1,1,0,0,0,0,0,1,0,0,1,0,1,NA,2,3,NA,NA,NA,NA,NA,5,NA,NA,4,NA,1,4,7,5,6,2,5,4,5,3,2,3,5,1,3,3,3,2,4,3,2,1,2,4,2,5,5,5,3,2,5,4,2,5,2,3,5,4,4,3,5,2,4,2,2,5,4,4,6,6
"yfGubRd8FDIjOxKwHeVdxH9A7nx9pRy_EQK5M7wCKwM7exDMTTdgVyIjqCOrOUmS","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9t7B8T0YsyLgfKQJKAPxepjzGar1B48EBFDdVHkz7lKdzfKMf5T7Fe_sB9z0kkZt","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IQR5r9yQVjJNPrwsutJQ-Kgho8blSYbC-3aRBlLIw2V8sDSFaKSFBHyMPMwUvEYi","2018-03-29","2018-03-29","2018-03-29",NA,24,3,NA,1,"committed, other",NA,1,"college",NA,0,5,5,1,6,7,1,"Arbeit",3,5,4,3,5,2,NA,3,1,5,5,5,5,5,5,4,5,5,5,5,4,3,4,4,3,1,NA,NA,4,2,3,3,5,1,4,1,5,1,5,4,5,5,0,1,0,1,1,0,NA,0,0,1,0,0,0,1,NA,2,NA,5,4,NA,NA,NA,NA,1,NA,NA,NA,3,2,7,2,7,7,7,5,4,4,1,2,3,4,1,5,4,5,1,3,1,1,2,5,5,5,3,2,5,2,3,5,1,1,5,4,5,2,4,4,2,3,3,2,3,4,5,5,3,6
"tbspf7e1h0j-yQ9vX-UQxL6ry-eEGRqjcnecds5niliYkrKnFBlD1IRl9cKIq2Ww","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PG1Ju8KFL-HPN_zf_hMLq4YA3z2JMsxvFQTbvOA1w9IYXYGvSqVuhCJ508Ob_dUN","2018-03-29","2018-03-30","2018-03-30",NA,22,1,NA,1,"committed",NA,1,"college",NA,0,6,6,7,7,6,1,"Finanzielle Absicherung",5,5,3,4,4,5,NA,4,1,5,5,5,2,5,5,4,5,5,2,4,3,4,3,3,5,4,NA,NA,5,5,1,4,5,5,5,5,5,5,1,4,5,5,1,1,0,0,0,0,NA,0,0,1,1,0,0,1,5,4,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,3,5,7,5,6,3,5,3,4,1,3,3,4,5,4,5,5,1,4,5,1,2,5,5,4,5,3,4,5,2,4,5,2,3,1,4,5,1,5,4,3,4,4,3,4,6,4,6,6,5
"RxLZUvamLL1Mk5TZ5YX05Z7IDo-OOCqh0ba5rK8jUY5EZ81XLrHMbpjz-gsSgD7h","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG1mCHWVFO6hRRv16pqgsq7y8RnKy16yjXHynuIN8hBh0bHiXlg1PR0KNHnxrSjm","2018-03-29","2018-03-29","2018-03-29",NA,24,1,NA,0,NA,NA,1,"college",NA,1,6,5,6,7,6,0,NA,5,NA,3,5,5,3,3,3,4,5,5,5,3,NA,4,4,NA,NA,3,2,5,5,5,4,3,2,3,2,3,4,4,5,5,5,4,5,5,5,3,4,NA,NA,1,NA,0,1,1,0,0,0,0,1,0,1,0,NA,5,NA,NA,3,4,NA,NA,NA,NA,1,NA,2,NA,NA,5,2,5,2,2,2,3,4,2,4,5,4,4,4,4,3,2,4,3,2,2,5,4,2,4,3,5,3,3,5,3,3,2,2,4,4,4,3,2,4,3,4,2,3,5,4,3,3,4
